,Description (also set on the server),Exp (also set on the server),Card,Tome Section,Index,Flag 1,Flag 2,"Flag 3 ",Flag 4,Flag 5,Flag 6,Flag 7,Flag 8,Flag 9,Flag 10,Flag 11,Flag 12,Flag 13,Flag 14,Flag 15,Flag 16,Flag 17,Flag 18,Flag 19,Flag 20,Flag 21,Flag 22,Flag 23,Flag 24,Flag 25,Flag 26,Flag 27,Flag 28,Flag 29,Flag 30,Flag 31,Flag 32,Flag 33,Flag 34,Flag 35,Flag 36
1,Greenskin Prologue,50,,20,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Greenskin Capitol - Karak Eight Peaks,300,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Greenskin Chapter 1,50,,20,101,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Greenskin Chapter 2,126,,20,102,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Greenskin Chapter 3,204,,20,103,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,*REMOVED*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Greenskin Warcamp 1 (Screeb's Stunty Killin' Camp, Mount Bloodhorn)",204,,20,105,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Greenskin Chapter 4,266,,20,106,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Greenskin Chapter 5,336,,20,107,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Greenskin Chapter 6,414,,20,108,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"Greenskin Warcamp 2 (Foultooth's Warcamp, Barak Varr)",414,,20,109,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"Greenskin Warcamp 3 (Morth's Mire, Marshes of Madness)",414,,20,110,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Greenskin Chapter 7,500,,20,111,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Greenskin Chapter 8,594,,20,112,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Greenskin Chapter 9,696,,20,113,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Greenskin Chapter 10,806,,20,114,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Greenskin Chapter 11,924,,20,115,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"Greenskin Warcamp 4 (Blackteef's Boyz Warcamp, Black Fire Pass)",924,,20,116,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"Greenskin Warcamp 5 (Muggar's Choppaz, The Badlands)",924,,20,117,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Greenskin Chapter 12,1050,,20,118,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Greenskin Chapter 13,1184,,20,119,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Greenskin Chapter 14,1326,,20,120,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Greenskin Chapter 15,1476,,20,121,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"Greenskin Warcamp 6 (Mudja's Choppaz, Thunder Mountain)",1476,,20,122,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Greenskin Chapter 16,1634,,20,123,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Greenskin Chapter 17,1800,,20,124,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Greenskin Chapter 18,1886,,20,125,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"Greenskin Warcamp 7 (Gudmud's Strong-Huts, Black Crag)",1886,,20,126,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Greenskin Chapter 19,1974,,20,127,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Greenskin Chapter 20,2064,,20,128,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"Greenskin Warcamp 8 (Krung's Scrappin' Spot, Kadrin Valley)",2064,,20,129,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Greenskin Chapter 21,2156,,20,130,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Greenskin Chapter 22,2250,,20,131,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
